estimated_active,bin_size,estimated_active_true
119844.9314,1002,120084621.3
119987.2192,1002,120227193.6
120444.1196,1002,120685007.8
120193.2185,1002,120433604.9
120124.592,1002,120364841.2
121829.5269,1002,122073185.9
118966.5509,1002,119204484
120720.2063,1002,120961646.7
120616.6983,1002,120857931.7
119877.3904,1002,120117145.2
119558.1292,1002,119797245.5
120411.1852,1002,120652007.6
119381.7584,1002,119620522
120725.6608,1002,120967112.1
120271.3364,1002,120511879.1
119293.81,1002,119532397.6
120936.8121,1002,121178685.8
121115.8117,1002,121358043.3
115594.9595,1002,115826149.4
119607.9744,1002,119847190.4
119803.5797,1002,120043186.9
120676.6243,1002,120917977.5
120599.7752,1002,120840974.8
120424.2803,1002,120665128.9
119594.7185,1002,119833907.9
