estimated_active,bin_size,estimated_active_true
120739.8029,1002,120981282.5
119177.4613,1002,119415816.2
119619.8846,1002,119859124.3
120876.5411,1002,121118294.2
120101.8448,1002,120342048.4
121216.1894,1002,121458621.8
119990.4873,1002,120230468.3
120351.5769,1002,120592280
120748.9703,1002,120990468.2
119827.4395,1002,120067094.3
121407.8573,1002,121650673
120963.3596,1002,121205286.3
120125.8671,1002,120366118.9
119262.6348,1002,119501160.1
120561.5278,1002,120802650.9
118880.2452,1002,119118005.7
120322.3028,1002,120562947.4
120203.6285,1002,120444035.8
120062.341,1002,120302465.7
119859.1868,1002,120098905.1
121127.1354,1002,121369389.6
120234.2236,1002,120474692
120033.2788,1002,120273345.4
119547.8046,1002,119786900.2
121227.5847,1002,121470039.8
