estimated_active,bin_size
118072968.8298428,501.0
120211419.50325723,501.0
121038787.18017696,501.0
121068289.56007472,501.0
120921291.97253856,501.0
120620612.95626172,501.0
121113873.78180033,501.0
120298837.24992014,501.0
120993288.55977106,501.0
120159242.69745575,501.0
120989639.12639697,501.0
118948438.05867198,501.0
120682767.06489255,501.0
121250189.34569995,501.0
121445204.92182255,501.0
120323288.74763218,501.0
113876850.89492051,501.0
121258933.22105035,501.0
121286398.96292767,501.0
122169366.57389879,501.0
119658980.96072423,501.0
119746785.18624285,501.0
121158454.56884734,501.0
118367068.56740752,501.0
120952771.0398265,501.0
